query,total_relevantes,baseline_p@5,baseline_avg_pos,baseline_ndcg,baseline_mrr,baseline_found,rlhf_p@5,rlhf_avg_pos,rlhf_ndcg,rlhf_mrr,rlhf_found,mejora_p@5,mejora_posicion,mejora_ndcg,mejora_mrr,mejor_precision,mejor_posicion,mejor_ndcg,mejor_mrr,cambio_top1,cambio_top3
car parts,2,0.4,2.5,0.8772153153380493,1.0,2,0.4,2.5,0.8772153153380493,1.0,2,0.0,0.0,0.0,0.0,False,False,False,False,False,False
led lights for truck,1,0.2,4.0,0.43067655807339306,0.25,1,0.2,4.0,0.43067655807339306,0.25,1,0.0,0.0,0.0,0.0,False,False,False,False,False,False
door panel courtesy light,1,0.2,1.0,1.0,1.0,1,0.2,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,False,False,False,False,False,False
generator stator,1,0.2,4.0,0.43067655807339306,0.25,1,0.2,4.0,0.43067655807339306,0.25,1,0.0,0.0,0.0,0.0,False,False,False,False,False,False
carburetor rebuild kit,1,0.2,1.0,1.0,1.0,1,0.2,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,False,False,False,False,False,False
door handle replacement,1,0.2,1.0,1.0,1.0,1,0.2,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,False,False,False,False,False,False
fake nails,1,0.2,2.0,0.6309297535714575,0.5,1,0.2,2.0,0.6309297535714575,0.5,1,0.0,0.0,0.0,0.0,False,False,False,False,False,False
volumizing conditioner,1,0.2,1.0,1.0,1.0,1,0.2,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,False,False,False,False,False,False
acrylic nail tips,1,0.2,2.0,0.6309297535714575,0.5,1,0.2,2.0,0.6309297535714575,0.5,1,0.0,0.0,0.0,0.0,False,False,False,False,False,False
brazilian virgin hair,1,0.2,1.0,1.0,1.0,1,0.2,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,False,False,False,False,False,False
